product,rating,rating count,price,product url
Men's Winter Jacket Casual Warm Cotton Work Military Jacket Fleece Lined Cargo Hooded Parka Coat  ,3.8 out of 5 stars,13  ,60.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0826838130GJRWLKVOJ2&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FCARWORNIC-Military-Thicken-Windproof-Removable%2Fdp%2FB0BJ9C3K4T%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-19-spons%26psc%3D1
Men's Novelty Color Block Pullover Fleece Hoodie Long Sleeve Casual Sweatshirt with Pocket  ,4.5 out of 5 stars,"10,040  ",29.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0169272R6HESVTV4ZW6&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FGesean-Sweatshirt-Hoodies-Sleeve-Premium%2Fdp%2FB08LQ6C1T9%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-20-spons%26psc%3D1
Men's Tiro 21 Track Jacket  ,4.6 out of 5 stars,"2,994  ",32.14,https://amazon.com/adidas-Track-Jacket-Black-X-Large/dp/B087C3BT37/ref=sr_1_21?keywords=jacket&qid=1682035541&sr=8-21
Women's Lightweight Long-Sleeve Water-Resistant Puffer Jacket (Available in Plus Size)  ,4.5 out of 5 stars,"17,526  ",45.3,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMLQYSH/ref=sr_1_22?keywords=jacket&qid=1682035541&sr=8-22
Boys' Glennaker Rain Jacket  ,4.6 out of 5 stars,"14,784  ",34.99,https://amazon.com/Columbia-Glennaker-Jacket-Black-Large/dp/B00LEX0Y3K/ref=sr_1_23?keywords=jacket&qid=1682035541&sr=8-23
Girls' Switchback Ii Jacket  ,4.6 out of 5 stars,"8,586  ",34.99,https://amazon.com/Columbia-Girls-Switchback-Jacket-Medium/dp/B07L535H1D/ref=sr_1_24?keywords=jacket&qid=1682035541&sr=8-24
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel  ,4.6 out of 5 stars,"11,732  ",39.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A062045811QDK65KEIXT1&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FLightweight-Waterproof-Hooded-Outdoor-Raincoat%2Fdp%2FB08F9W2M7S%2Fref%3Dsr_1_25_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-25-spons%26psc%3D1
Women's Full Zip UPF 50+ Sun Protection Hoodie Jacket Long Sleeve Sun Shirt Hiking Outdoor Performance with Pockets  ,4.5 out of 5 stars,"4,086  ",26.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04932681NVSSAZ0ILNVV&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FLibin-Protection-Outdoor-Performance-Pockets%2Fdp%2FB08VNRDJ8X%2Fref%3Dsr_1_26_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-26-spons%26psc%3D1
Mens Rain Suit with Hideaway Hood Waterproof Rain Gear (Jackets and Pants)  ,4.3 out of 5 stars,127  ,67.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0241182865ICVRT7A47&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2F33-000ft-Hideaway-Waterproof-Jackets%2Fdp%2FB08W27RFD7%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-27-spons%26psc%3D1
Mens Zipper Fleece Hoodie Sweatshirt Jacket  ,4.3 out of 5 stars,981  ,39.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01978042WENK30WW3OR&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FQPNGRP-Casual-Sweatshirt-Darkgray-XX-Large%2Fdp%2FB09FXY1VN7%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-28-spons%26psc%3D1
Boys and Toddlers' Polar Fleece Full-Zip Mock Jacket  ,4.7 out of 5 stars,"11,447  ",17.1,https://amazon.com/Amazon-Essentials-Little-Full-Zip-Fleece/dp/B0738FG21L/ref=sr_1_29?keywords=jacket&qid=1682035541&sr=8-29
Women's Lightweight Long-Sleeve Full-Zip Water-Resistant Packable Hooded Puffer Jacket  ,4.5 out of 5 stars,"17,154  ",47.5,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07C8VGWT1/ref=sr_1_30?keywords=jacket&qid=1682035541&sr=8-30
Women's Switchback Lined Long Jacket  ,4.5 out of 5 stars,"6,157  ",68.99,https://amazon.com/Columbia-Womens-Switchback-Lined-Jacket/dp/B072JHK78V/ref=sr_1_31?keywords=jacket&qid=1682035541&sr=8-31
Men's Ascender Softshell Jacket  ,4.7 out of 5 stars,"2,376  ",79.99,https://amazon.com/Columbia-Ascender-Softshell-Jacket-Resistant/dp/B00HQ4KSGE/ref=sr_1_32?keywords=jacket&qid=1682035541&sr=8-32
Women's Lightweight Full Zip Soft Polar Fleece Jacket Outdoor Recreation Coat With Zipper Pockets  ,4.4 out of 5 stars,"3,704  ",36.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0565433OL4KVH1QDR2B&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FWomens-Lightweight-Outdoor-Recreation-Pockets%2Fdp%2FB098D3PT1N%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-33-spons%26psc%3D1
Womens Waffle Knit Shacket Boyfriend Shirt Jacket Button Down Blouse Loose Fit Long Sleeve Tops  ,4.3 out of 5 stars,"1,366  ",36.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01177217WN1FMKFZIVP&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FYanekop-Womens-Waffle-Shacket-Boyfriend%2Fdp%2FB09HH2J2NR%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-34-spons%26psc%3D1
Men's Flight Bomber Jacket Casual Lightweight Softshell Windbreaker Slim Fit Varsity Jacket Coat  ,4.4 out of 5 stars,154  ,29.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09616883MPTQA11DJ1O2&qualifier=1682035541&id=1092708059909814&widgetName=sp_mtf&url=%2FAnzerll-Lightweight-Softshell-Windbreaker-Varsity%2Fdp%2FB0B3Y9G7J9%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-35-spons%26psc%3D1
Baby Toddler Girls Windbreaker Jacket  ,4.7 out of 5 stars,209  ,11.98,https://amazon.com/Childrens-Place-Toddler-Uniform-Windbreaker/dp/B08HJ3FXCH/ref=sr_1_36?keywords=jacket&qid=1682035541&sr=8-36
Girls' Benton Springs Fleece  ,4.8 out of 5 stars,"5,228  ",29.99,https://amazon.com/Columbia-Little-Benton-Springs-Fleece/dp/B01MXLSU40/ref=sr_1_37?keywords=jacket&qid=1682035541&sr=8-37
Women's Arcadia Ii Jacket  ,4.7 out of 5 stars,"16,430  ",61.74,https://amazon.com/Columbia-Womens-Arcadia-Waterproof-Jacket/dp/B00DQYPM6O/ref=sr_1_38?keywords=jacket&qid=1682035541&sr=8-38
Men's Hooded Down Jacket Quilted Coat Sherpa Lined  ,4.6 out of 5 stars,781  ,62.86,https://amazon.com/Calvin-Klein-Lightweight-Packable-Removable/dp/B08ZNZ9NFT/ref=sr_1_39?keywords=jacket&qid=1682035541&sr=8-39
Women's Denim Jacket  ,4.6 out of 5 stars,"25,377  ",38.99,https://amazon.com/Riders-Lee-Indigo-Stretch-Weathered/dp/B074DZQLBV/ref=sr_1_40?keywords=jacket&qid=1682035541&sr=8-40
Men's Trucker Jacket  ,4.6 out of 5 stars,"17,990  ",79.99,https://amazon.com/Levis-Mens-Trucker-Jacket-Steel/dp/B077GCYWFF/ref=sr_1_41?keywords=jacket&qid=1682035541&sr=8-41
Baby Toddler Boys Windbreaker Jacket  ,4.8 out of 5 stars,"1,613  ",13.98,https://amazon.com/Childrens-Place-Windbreaker-Jacket-Black/dp/B08HJ3G424/ref=sr_1_42?keywords=jacket&qid=1682035541&sr=8-42
Men's Unlined Eisenhower Jacket  ,4.4 out of 5 stars,"2,210  ",58.61,https://amazon.com/Dickies-Unlined-Eisenhower-Jacket-Black/dp/B000N8RZ34/ref=sr_1_43?keywords=jacket&qid=1682035541&sr=8-43
The Jacket  ,4.5 out of 5 stars,"1,269  ",2.99,https://amazon.com/Jacket-Adrien-Brody/dp/B006DKG44C/ref=sr_1_44?keywords=jacket&qid=1682035541&sr=8-44
Women's Oversized Denim Jacket Casual Long Boyfriend Distresse Jean Jacket Autumn Spring  ,4.2 out of 5 stars,"1,984  ",46.98,https://amazon.com/Dokotoo-Womens-Distressed-Trucker-Jackets/dp/B09KL4L18S/ref=sr_1_45?keywords=jacket&qid=1682035541&sr=8-45
Men's Waterproof Breathable Hooded Jacket Raincoat  ,4.6 out of 5 stars,"3,729  ",39.99,https://amazon.com/Tommy-Hilfiger-Waterproof-Breathable-Hooded/dp/B00YQAFZLO/ref=sr_1_46?keywords=jacket&qid=1682035541&sr=8-46
Womens Military Jacket Zip Up Snap Buttons Lightweight Utility Anorak Field Safari Coat Outwear…  ,4.1 out of 5 stars,"2,386  ",41.59,https://amazon.com/Military-Buttons-Lightweight-Utility-Outwear/dp/B087FW2H7Q/ref=sr_1_47?keywords=jacket&qid=1682035541&sr=8-47
"Eversoft Fleece Hoodies, Pullover & Full Zip, Moisture Wicking & Breathable, Sizes S-4X  ",4.6 out of 5 stars,"43,740  ",14.99,https://amazon.com/Fruit-Loom-Eversoft-Sweatshirts-Zip-Black/dp/B08YGS4KY1/ref=sr_1_48?keywords=jacket&qid=1682035541&sr=8-48
Men's Loose Fit Firm Duck Insulated Flannel-Lined Active Jacket  ,4.7 out of 5 stars,"20,433  ",109.99,https://amazon.com/Carhartt-Quilted-Flannel-Active-Jacket/dp/B000CCOIHC/ref=sr_1_49?keywords=jacket&qid=1682035541&sr=8-49
Womens Cropped Slim Athletic Yoga Workout Track Sports Zip Up Jacket with Thumb Holes  ,4.8 out of 5 stars,43  ,21.96,https://amazon.com/Fenclushy-Womens-Cropped-Athletic-Workout/dp/B0BPXS6RYF/ref=sr_1_50?keywords=jacket&qid=1682035541&sr=8-50
"Men's Packable Recycled Windbreaker Jacket, Wind- and Water-Resistant Hooded Jacket  ",4.6 out of 5 stars,"7,638  ",33.75,https://amazon.com/Champion-Packable-Jacket-Black-Medium/dp/B078GLSLBN/ref=sr_1_51?keywords=jacket&qid=1682035541&sr=8-51
Women's Quilted Jacket Long Sleeve Zip up Raglan Bomber Jacket with Pockets  ,4.5 out of 5 stars,"1,863  ",44.99,https://amazon.com/andy-natalie-Womens-Quilted-Pockets/dp/B08HYKWRLN/ref=sr_1_52?keywords=jacket&qid=1682035541&sr=8-52
Women's Switchback Iii Jacket  ,4.4 out of 5 stars,"15,406  ",49.28,https://amazon.com/Columbia-Womens-Switchback-Adjustable-Waterproof/dp/B072JHJLLN/ref=sr_1_53?keywords=jacket&qid=1682035541&sr=8-53
Men's Rain Defender Relaxed Fit Lightweight Jacket  ,4.6 out of 5 stars,125  ,69.99,https://amazon.com/Carhartt-Defender-Relaxed-Lightweight-X-Large/dp/B09KTDKY3D/ref=sr_1_54?keywords=jacket&qid=1682035541&sr=8-54
